vegType,  1,  2,  3,  4,  5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
CH2OP,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1,  0.1, 0.1,  0.1
DLEAF, 0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04,  0.04
Z0MVT, 1.09,  1.10,  0.85,  0.80,  0.80,  0.20,  0.06,  0.60,  0.50,  0.12,  0.30,  0.15,  1.00,  0.14,  0.00,  0.00,  0.00,  0.30,  0.20,  0.03
HVT, 20.0,  20.0,  18.0,  16.0,  16.0,  1.10,  1.10,  13.0,  10.0,  1.00,  5.00,  2.00,  15.0,  1.50,  0.00,  0.00,  0.00,  4.00,  2.00,  0.50
HVB, 8.50,  8.00,  7.00,  11.5,  10.0,  0.10,  0.10,  0.10,  0.10,  0.05,  0.10,  0.10,  1.00,  0.10,  0.00,  0.00,  0.00,  0.30,  0.20,  0.10
DEN, 0.28,  0.02,  0.28,  0.10,  0.10,  10.0,  10.0,  10.0,  0.02,  100.,  5.05,  25.0,  0.01,  25.0,  0.00,  0.01,  0.01,  1.00,  1.00,  1.00
RC, 1.20,  3.60,  1.20,  1.40,  1.40,  0.12,  0.12,  0.12,  3.00,  0.03,  0.75,  0.08,  1.00,  0.08,  0.00,  0.01,  0.01,  0.30,  0.30,  0.30
XL, 0.010, 0.010, 0.010, 0.250, 0.250, 0.010, 0.010, 0.010, 0.010, -0.30, -0.025, -0.30, 0.000, -0.30, 0.000, 0.000, 0.000, 0.250, 0.250, 0.250
CWPVT , 0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18,  0.18, 0.18
C3PSN,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0
KC25, 30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0,  30.0
AKC,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1,  2.1
KO25, 3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4,  3.E4
AKO,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2,  1.2
AVCMX,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4,  2.4
AQE,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0,  1.0
LTOVRC,  0.5,  0.55,  0.2,  0.55,  0.5,  0.65,  0.65,  0.65,  0.65,  0.50,  1.4,  1.6,  0.0,  1.2,  0.0,  0.0,  0.0,  1.3,  1.4,  1.0
DILEFC, 1.20,  0.50,  1.80,  0.60,  0.80,  0.20,  0.20,  0.20,  0.50,  0.20,  0.4,  0.50,  0.00,  0.35,  0.00,  0.00,  0.00,  0.30,  0.40,  0.30
DILEFW, 0.20,  4.00,  0.20,  0.20,  0.20,  0.20,  0.20,  0.20,  0.50,  0.10,  0.2,  0.20,  0.00,  0.20,  0.00,  0.00,  0.00,  0.20,  0.20,  0.20
RMF25, 3.00,  0.65,  4.00,  3.00,  3.00,  0.26,  0.26,  0.26,  0.80,  1.80,  3.2,  1.00,  0.00,  1.45,  0.00,  0.00,  0.00,  3.00,  3.00,  3.00
SLA,  80,   80,   80,   80,   80,   60,   60,   60,   50,   60,   80,   80,   60,   80,   0,   0,   0,   80,   80,   80
FRAGR, 0.10,  0.20,  0.10,  0.20,  0.10,  0.20,  0.20,  0.20,  0.20,  0.20,  0.1,  0.20,  0.00,  0.20,  0.00,  0.10,  0.00,  0.10,  0.10,  0.10
TMIN,  265,  273,  268,  273,  268,  273,  273,  273,  273,  273,  268,  273,   0,  273,   0,   0,   0,  268,  268,  268
VCMX25, 50.0,  60.0,  60.0,  60.0,  55.0,  40.0,  40.0,  40.0,  40.0,  40.0,  50.0,  80.0,  0.00,  60.0,  0.00,  0.00,  0.00,  50.0,  50.0,  50.0
TDLEF,  278,  278,  268,  278,  268,  278,  278,  278,  278,  278,  268,  278,  278,  278,   0,   0,   0,  268,  268,  268
BP, 2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3,  2.E3, 1.E15,  2.E3, 1.E15,  2.E3, 1.E15,  2.E3,  2.E3,  2.E3
MP,  6.,   9.,   6.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.,   9.
QE25, 0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.06,  0.00,  0.06,  0.00,  0.06,  0.00,  0.06,  0.06,  0.06
RMS25, 0.90,  0.30,  0.64,  0.10,  0.80,  0.10,  0.10,  0.10,  0.32,  0.10,  0.10,  0.10,  0.00,  0.10,  0.00,  0.00,  0.00,  0.10,  0.10,  0.00
RMR25, 0.36,  0.05,  0.05,  0.01,  0.03,  0.00,  0.00,  0.00,  0.01,  1.20,  0.0,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  2.11,  2.11,  0.00
ARM,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0,  2.0
FOLNMX,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  1.5,  0.00,  1.5,  0.00,  1.5,  0.00,  1.5,  1.5,  1.5
WDPOOL, 1.00,  1.00,  1.00,  1.00,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00,  0.5,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  1.00,  1.00,  0.00
WRRAT, 30.0,  30.0,  30.0,  30.0,  30.0,  3.00,  3.00,  3.00,  3.00,  0.00,  15.0,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  3.00,  3.00,  0.00
MRP, 0.37,  0.23,  0.37,  0.40,  0.30,  0.19,  0.19,  0.19,  0.40,  0.17, 0.285,  0.23,  0.00,  0.23,  0.00,  0.00,  0.00,  0.23,  0.20,  0.00
SLAREA, 0.0090, 0.0200, 0.0200, 0.0258, 0.0223, 0.0227, 0.0188, 0.0227, 0.0236, 0.0060, 0.0295, 0.0200, 0.0228, 0.0223,  0.02,  0.02, 0.0422,  0.02,  0.02,  0.02
